"Region_ID","Region_Name","Region_Lat","Region_Lon","Vaccine_Name","Vaccine_Abbreviation","Age_Group","Coverage_Percentage","Year_Value"
1,"Piemonte",45.0732745,7.680687483,"Difterite","DIF","18 years","81.75",2022
1,"Piemonte",45.0732745,7.680687483,"Tetano","TET","18 years","81.94",2022
1,"Piemonte",45.0732745,7.680687483,"Pertosse","PER","18 years","81.06",2022
1,"Piemonte",45.0732745,7.680687483,"Morbillo, Parotite, Rosolia, Varicella","MPRV_first_dose","18 years","95.14",2022
1,"Piemonte",45.0732745,7.680687483,"Morbillo, Parotite, Rosolia, Varicella","MPRV_second_dose","18 years","93.07",2022
1,"Piemonte",45.0732745,7.680687483,"Parotite (prima dose)","PAR_first_dose","18 years","95.06",2022
1,"Piemonte",45.0732745,7.680687483,"Parotite (seconda dose)","PAR_second_dose","18 years","92.74",2022
1,"Piemonte",45.0732745,7.680687483,"Rosolia (prima dose)","ROS_first_dose","18 years","72.32",2022
1,"Piemonte",45.0732745,7.680687483,"Rosolia (seconda dose)","ROS_second_dose","18 years","60.59",2022
1,"Piemonte",45.0732745,7.680687483,"Meningococco C coniugato","Men C","18 years","80.74",2022
1,"Piemonte",45.0732745,7.680687483,"Polio","POL","18 years","81.49",2022
1,"Piemonte",45.0732745,7.680687483,"Epatite A","EP A","18 years","3.83",2022
1,"Piemonte",45.0732745,7.680687483,"Meningococco ACYW coniugato","Men ACYW","18 years","78.25",2022
2,"Valle d'Aosta",45.73750286,7.320149366,"Difterite","DIF","18 years","89.18",2022
2,"Valle d'Aosta",45.73750286,7.320149366,"Tetano","TET","18 years","90.65",2022
2,"Valle d'Aosta",45.73750286,7.320149366,"Pertosse","PER","18 years","88.66",2022
2,"Valle d'Aosta",45.73750286,7.320149366,"Morbillo, Parotite, Rosolia, Varicella","MPRV_first_dose","18 years","94.89",2022
2,"Valle d'Aosta",45.73750286,7.320149366,"Morbillo, Parotite, Rosolia, Varicella","MPRV_second_dose","18 years","93.68",2022
2,"Valle d'Aosta",45.73750286,7.320149366,"Parotite (prima dose)","PAR_first_dose","18 years","94.81",2022
2,"Valle d'Aosta",45.73750286,7.320149366,"Parotite (seconda dose)","PAR_second_dose","18 years","93.16",2022
2,"Valle d'Aosta",45.73750286,7.320149366,"Rosolia (prima dose)","ROS_first_dose","18 years","94.81",2022
2,"Valle d'Aosta",45.73750286,7.320149366,"Rosolia (seconda dose)","ROS_second_dose","18 years","93.33",2022
2,"Valle d'Aosta",45.73750286,7.320149366,"Meningococco C coniugato","Men C","18 years","85.28",2022
2,"Valle d'Aosta",45.73750286,7.320149366,"Polio","POL","18 years","89.18",2022
2,"Valle d'Aosta",45.73750286,7.320149366,"Epatite A","EP A","18 years","2.77",2022
2,"Valle d'Aosta",45.73750286,7.320149366,"Meningococco ACYW coniugato","Men ACYW","18 years","84.16",2022
3,"Lombardia",45.46679409,9.190347404,"Difterite","DIF","18 years","82.2",2022
3,"Lombardia",45.46679409,9.190347404,"Tetano","TET","18 years","82.39",2022
3,"Lombardia",45.46679409,9.190347404,"Pertosse","PER","18 years","81.01",2022
3,"Lombardia",45.46679409,9.190347404,"Morbillo, Parotite, Rosolia, Varicella","MPRV_first_dose","18 years","95.35",2022
3,"Lombardia",45.46679409,9.190347404,"Morbillo, Parotite, Rosolia, Varicella","MPRV_second_dose","18 years","93.18",2022
3,"Lombardia",45.46679409,9.190347404,"Parotite (prima dose)","PAR_first_dose","18 years","95.1",2022
3,"Lombardia",45.46679409,9.190347404,"Parotite (seconda dose)","PAR_second_dose","18 years","92.11",2022
3,"Lombardia",45.46679409,9.190347404,"Rosolia (prima dose)","ROS_first_dose","18 years","95.15",2022
3,"Lombardia",45.46679409,9.190347404,"Rosolia (seconda dose)","ROS_second_dose","18 years","92.43",2022
3,"Lombardia",45.46679409,9.190347404,"Meningococco C coniugato","Men C","18 years","85.51",2022
3,"Lombardia",45.46679409,9.190347404,"Polio","POL","18 years","82.04",2022
3,"Lombardia",45.46679409,9.190347404,"Epatite A","EP A","18 years","5.9",2022
3,"Lombardia",45.46679409,9.190347404,"Meningococco ACYW coniugato","Men ACYW","18 years","81.03",2022
21,"Bolzano",46.49933453,11.35662422,"Difterite","DIF","18 years","67.86",2022
21,"Bolzano",46.49933453,11.35662422,"Tetano","TET","18 years","68.54",2022
21,"Bolzano",46.49933453,11.35662422,"Pertosse","PER","18 years","66.6",2022
21,"Bolzano",46.49933453,11.35662422,"Morbillo, Parotite, Rosolia, Varicella","MPRV_first_dose","18 years","90.95",2022
21,"Bolzano",46.49933453,11.35662422,"Morbillo, Parotite, Rosolia, Varicella","MPRV_second_dose","18 years","89.03",2022
21,"Bolzano",46.49933453,11.35662422,"Parotite (prima dose)","PAR_first_dose","18 years","90.85",2022
21,"Bolzano",46.49933453,11.35662422,"Parotite (seconda dose)","PAR_second_dose","18 years","88.81",2022
21,"Bolzano",46.49933453,11.35662422,"Rosolia (prima dose)","ROS_first_dose","18 years","90.87",2022
21,"Bolzano",46.49933453,11.35662422,"Rosolia (seconda dose)","ROS_second_dose","18 years","88.86",2022
21,"Bolzano",46.49933453,11.35662422,"Meningococco C coniugato","Men C","18 years","64.62",2022
21,"Bolzano",46.49933453,11.35662422,"Polio","POL","18 years","68.35",2022
21,"Bolzano",46.49933453,11.35662422,"Epatite A","EP A","18 years","6.23",2022
21,"Bolzano",46.49933453,11.35662422,"Meningococco ACYW coniugato","Men ACYW","18 years","60.53",2022
22,"Trento",46.06893511,11.12123097,"Difterite","DIF","18 years","85.62",2022
22,"Trento",46.06893511,11.12123097,"Tetano","TET","18 years","86.13",2022
22,"Trento",46.06893511,11.12123097,"Pertosse","PER","18 years","84.56",2022
22,"Trento",46.06893511,11.12123097,"Morbillo, Parotite, Rosolia, Varicella","MPRV_first_dose","18 years","94.34",2022
