"Region_ID","Region_Name","Region_Lat","Region_Lon","Vaccine_Name","Vaccine_Abbreviation","Age_Group","Coverage_Percentage","Year_Value"
1,"Piemonte",45.0732745,7.680687483,"Polio","POL","36 months","95.69",2023
1,"Piemonte",45.0732745,7.680687483,"Difterite","DIF","36 months","95.69",2023
1,"Piemonte",45.0732745,7.680687483,"Tetano","TET","36 months","95.7",2023
1,"Piemonte",45.0732745,7.680687483,"Pertosse","PER","36 months","95.68",2023
1,"Piemonte",45.0732745,7.680687483,"Epatite B","EP B","36 months","95.64",2023
1,"Piemonte",45.0732745,7.680687483,"Hib","HIB","36 months","96.38",2023
1,"Piemonte",45.0732745,7.680687483,"Morbillo","MOR","36 months","95.75",2023
1,"Piemonte",45.0732745,7.680687483,"Parotite","PAR","36 months","95.71",2023
1,"Piemonte",45.0732745,7.680687483,"Rosolia","ROS","36 months","95.75",2023
1,"Piemonte",45.0732745,7.680687483,"Varicella","VAR","36 months","95.1",2023
1,"Piemonte",45.0732745,7.680687483,"Meningococco C coniugato","Men C","36 months","90.02",2023
1,"Piemonte",45.0732745,7.680687483,"Pneumococco coniugato","PNC","36 months","91.53",2023
1,"Piemonte",45.0732745,7.680687483,"Epatite A","EP A","36 months","0.64",2023
1,"Piemonte",45.0732745,7.680687483,"Rotavirus","ROTA","36 months",NA,2023
1,"Piemonte",45.0732745,7.680687483,"Meningococco B","Men B","36 months","88.13",2023
1,"Piemonte",45.0732745,7.680687483,"Meningococco ACYW coniugato","Men ACYW","36 months","1.83",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Polio","POL","36 months","94.11",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Difterite","DIF","36 months","93.98",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Tetano","TET","36 months","93.98",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Pertosse","PER","36 months","93.98",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Epatite B","EP B","36 months","93.6",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Hib","HIB","36 months","93.85",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Morbillo","MOR","36 months","93.34",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Parotite","PAR","36 months","93.21",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Rosolia","ROS","36 months","93.34",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Varicella","VAR","36 months","91.42",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Meningococco C coniugato","Men C","36 months","87.45",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Pneumococco coniugato","PNC","36 months","90.52",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Epatite A","EP A","36 months","0.38",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Rotavirus","ROTA","36 months",NA,2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Meningococco B","Men B","36 months","79.64",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Meningococco ACYW coniugato","Men ACYW","36 months","0.9",2023
3,"Lombardia",45.46679409,9.190347404,"Polio","POL","36 months","96.82",2023
3,"Lombardia",45.46679409,9.190347404,"Difterite","DIF","36 months","96.81",2023
3,"Lombardia",45.46679409,9.190347404,"Tetano","TET","36 months","96.82",2023
3,"Lombardia",45.46679409,9.190347404,"Pertosse","PER","36 months","96.81",2023
3,"Lombardia",45.46679409,9.190347404,"Epatite B","EP B","36 months","96.81",2023
3,"Lombardia",45.46679409,9.190347404,"Hib","HIB","36 months","96.65",2023
3,"Lombardia",45.46679409,9.190347404,"Morbillo","MOR","36 months","96.77",2023
3,"Lombardia",45.46679409,9.190347404,"Parotite","PAR","36 months","96.7",2023
3,"Lombardia",45.46679409,9.190347404,"Rosolia","ROS","36 months","96.76",2023
3,"Lombardia",45.46679409,9.190347404,"Varicella","VAR","36 months","96.19",2023
3,"Lombardia",45.46679409,9.190347404,"Meningococco C coniugato","Men C","36 months","94.15",2023
3,"Lombardia",45.46679409,9.190347404,"Pneumococco coniugato","PNC","36 months","94.3",2023
3,"Lombardia",45.46679409,9.190347404,"Epatite A","EP A","36 months","3.23",2023
3,"Lombardia",45.46679409,9.190347404,"Rotavirus","ROTA","36 months",NA,2023
3,"Lombardia",45.46679409,9.190347404,"Meningococco B","Men B","36 months","93.31",2023
3,"Lombardia",45.46679409,9.190347404,"Meningococco ACYW coniugato","Men ACYW","36 months","1.71",2023
21,"Bolzano",46.49933453,11.35662422,"Polio","POL","36 months","89.6",2023
21,"Bolzano",46.49933453,11.35662422,"Difterite","DIF","36 months","89.68",2023
21,"Bolzano",46.49933453,11.35662422,"Tetano","TET","36 months","89.68",2023
21,"Bolzano",46.49933453,11.35662422,"Pertosse","PER","36 months","89.68",2023
21,"Bolzano",46.49933453,11.35662422,"Epatite B","EP B","36 months","89.62",2023
21,"Bolzano",46.49933453,11.35662422,"Hib","HIB","36 months","89.64",2023
21,"Bolzano",46.49933453,11.35662422,"Morbillo","MOR","36 months","88.58",2023
21,"Bolzano",46.49933453,11.35662422,"Parotite","PAR","36 months","88.56",2023
21,"Bolzano",46.49933453,11.35662422,"Rosolia","ROS","36 months","88.6",2023
21,"Bolzano",46.49933453,11.35662422,"Varicella","VAR","36 months","88.01",2023
